Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02216,"FEDERAL TRANSIT, INC",,2015,9,September,144,0,8
B02096,"CET GROUP, INC",,2022,4,April,127,0,31
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2017,11,November,69,0,8
B02217,PCS LIMOUSINE INC.,,2020,1,January,301,0,7
B01273,PUERTO RICO CAR SERVICE INC.,,2020,12,December,296,0,2
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",,2022,1,January,186,0,14
B01625,GLOBE CAR SERVICE INC,,2021,10,October,165,0,1
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2018,9,September,184,0,7
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2016,7,July,10115,0,23
B01231,GO CAR CORP.,,2016,8,August,7058,0,40
B03138,WST LIMOUSINE LLC,,2022,2,February,79,0,13
B02920,AMAZING CAR AND LIMO SERVICE INC,,2020,5,May,766,0,6
B03177,BERNICE SERVICES INC,,2020,4,April,34,0,2
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2021,7,July,682,0,3
B03346,ASHER TRANSPORTATION INC,,2021,6,June,793,0,12
B00625,"CENTRAL CAR SERVICES,INC.",,2020,3,March,2427,0,28
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2017,12,December,1403,0,6
B00350,CHAMPION CAR & LIMO SVC. INC.,,2017,10,October,4412,0,28
B02898,SANO CAR LLC,,2018,2,February,2256,0,27
B02288,SAFARI TRANSPORTATION INC.,,2015,6,June,594,0,6
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2019,6,June,1198,0,8
B02929,OTTOMAN TRANSPORTATION INC.,,2020,12,December,550,0,6
B02760,VISMAR RADIO DISPATCH INC.,,2016,11,November,263,0,7
B00001,LONDON TOWNCARS INC,,2021,2,February,244,0,12
B02634,VETERANS RADIO DISPATCHER CORP.,,2022,5,May,3276,0,16
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2016,12,December,602,0,13
B01913,MIRAGE LIMOUSINE SERVICE INC,,2021,8,August,303,0,11
B01029,ZION CAR SERVICE INC.,,2017,8,August,39,0,4
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2016,2,February,903,0,23
B02180,PEGASUS TRANSPORT SERVICE INC.,,2017,6,June,144,0,15
B01445,J T TRANS CO INC,,2018,3,March,5694,0,81
B02292,NEW YORK APPLE V.I.P. CORP,,2020,8,August,6060,0,45
B01614,R TRANSPORT INC,,2021,8,August,174,0,3
B02110,"OPTIMUM CAR & LIMO, INC.",,2021,4,April,1207,0,10
B02825,GUADALUPANA II CAR & LIMO INC,,2019,5,May,5411,0,21
B02838,THA MAYA CAR SERVICE INC,,2022,6,June,1616,0,14
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2016,7,July,195,0,16
B02846,DLS TRANSPORTATION CORP.,,2018,9,September,3816,0,23
B02207,"EASTERN LUXURY, INC.",,2022,3,March,9,0,6
B02254,"FINESSE GROUP LIMOUSINE,INC.",,2016,3,March,1336,0,6
B02590,LUXOR LIMO INC,,2017,11,November,2233,0,48
B00860,SEAMAN RADIO DISPATCHERS INC,,2018,12,December,20884,0,102
B01467,NEW EXPERIENCE #1 INC,,2015,8,August,20293,0,98
B00053,CHARGE AND RIDE INC,,2022,3,March,257,0,72
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2016,4,April,14246,0,146
B01349,CAPRICORN LIMO SVC INC,,2019,9,September,888,0,19
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,2021,5,May,2769,0,19
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2019,6,June,15010,0,60
B01800,EMPIRE INTERNATIONAL LTD.,,2020,11,November,489,0,49
B01800,EMPIRE INTERNATIONAL LTD.,,2017,3,March,10006,0,292
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2017,8,August,3529,0,19
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2017,10,October,2424,0,12
B00277,ALL CITY CORP TRANS INC,,2016,4,April,1768,0,50
B01280,BENSONHURST RIDE INC.,,2017,4,April,5723,0,30
B00900,BIG Q CAR SVC. INC.,,2019,11,November,30736,0,118
B02144,"SILVER STAR LIMOUSINES, INC.",,2021,5,May,83,0,1
B01282,NEW LOTS C/S INC,,2019,10,October,7448,0,34
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2017,6,June,5112,0,83
B02228,SPECIAL RADIO DISP.CORP.,,2017,2,February,2131,0,20
B02784,SMILE TRANSPORTATION GROUP INC,,2015,8,August,3139,0,13
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2020,12,December,2145,0,11
B02997,KALUMA TRANSPORTATION GROUP INC.,,2020,11,November,30,0,7
B01875,ON LINE LIMOUSINE LLC,,2019,6,June,1036,0,20
B01601,YOURS CAR SERVICE INC,,2022,3,March,2284,0,7
B00277,ALL CITY CORP TRANS INC,,2017,10,October,1789,0,45
B03246,FASTRIDE LIMO INC.,,2021,2,February,455,0,8
B01056,UNITY CAR & LIMO INC.,,2018,2,February,140,0,1
B00693,BUSHWICK CAR SVCE INC,,2017,5,May,6724,0,38
B03060,EASTLAND BLACK CARS CORP,,2019,3,March,19074,0,102
B00202,"EXCELSIOR CAR & LIMO, INC.",,2019,11,November,207,0,9
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2020,10,October,573,0,8
B02657,MALCOLM LIMO EXPRESS CORP.,,2018,7,July,6146,0,41
B03282,HOLY TRANSPORTATION CORP.,,2021,2,February,703,0,24
B01087,ELITE LIMO PLUS INC,,2019,3,March,20419,0,461
B02298,NYG LIMOUSINE LLC,,2020,10,October,25,0,1
LYFT,LYFT,LYFT,2015,5,May,100862,0,2701
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2022,4,April,3015,0,33
B03080,AMBAR TRANSPORTATION INC.,,2020,9,September,4234,0,39
B02003,"AVALON CORPORATE CAR,INC.",,2019,9,September,2370,0,67
B01346,ARECIBO C/S INC,,2021,1,January,1072,0,13
B01479,PRATT CAR SERVICE INC,,2018,12,December,316,6,2
B02252,ASIANA LIMOUSINE INC.,,2017,11,November,24,0,3
B02851,GALLANT CAR SERVICE CORP.,,2018,5,May,136,0,1
B02061,ROYAL COACHMAN LTD.,,2016,3,March,97,0,11
B02107,APOLLO RADIO DISPATCH INC.,,2017,7,July,10134,0,72
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2018,4,April,1655,0,10
b01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2015,7,July,3570,0,10
B02920,AMAZING CAR AND LIMO SERVICE INC,,2020,6,June,931,0,6
B03028,CASTILLO CAR & LIMO INC,,2019,9,September,909,0,8
B01341,A NEW DAY RAD DISP INC,,2019,10,October,815,0,11
B02825,GUADALUPANA II CAR & LIMO INC,,2020,1,January,3149,0,16
b01109,UNITED EXP C/L SVCE,,2016,6,June,10765,0,53
B02851,GALLANT CAR SERVICE CORP.,,2018,6,June,113,0,1
B02229,NEW FAT INC.,ELEGANTE,2020,8,August,575,0,6
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2019,7,July,11195,0,49
B02133,"TWR CAR & LIMO, INC.",,2019,11,November,12313,0,171
B01436,NEW PRONTO TRANSP INC,,2021,7,July,127,0,4
B03105,MAZNA TRANSPORTATION CORPORATION,,2018,3,March,174,0,9
B00222,"REYNO CAR SVC, INC.",,2022,3,March,1125,0,8
B01194,440 CAR SERVICE INC.,,2019,1,January,2034,0,11
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,2016,3,March,2669,0,121
B03162,IMPERIUM TRANS GROUP INC,,2019,11,November,5996,0,29
B01280,BENSONHURST RIDE INC.,,2018,11,November,4151,0,23
B02670,STRIDE TRANSPORTATION INC.,,2018,12,December,863,0,44
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2021,9,September,144,0,6
B01751,CONCORDE EXP OF N.Y. INC,,2017,12,December,1687,0,7
B00014,NY ONE CORP CAR INC,,2021,10,October,1022,0,184
B02470,VAHANA INC.,,2020,12,December,51,0,9
B02229,NEW FAT INC.,ELEGANTE,2018,2,February,4530,0,47
B02643,LORY CAR SERVICE CORP.,,2018,12,December,120,0,1
B00225,DELANCEY TRANSPORTATION INC.,,2017,2,February,11325,0,78
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2018,1,January,5244,0,19
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2015,5,May,19825,0,9
B02573,SUNSET PARK CAR SERVICE INC,,2015,12,December,4328,0,18
B02695,SEE USA TOURS INC.,,2017,6,June,398,0,6
B02219,ALL QUEENS CAR & LIMOUSINE INC.,CAR ON TIME,2019,6,June,59,0,5
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2021,11,November,720,0,12
B01349,CAPRICORN LIMO SVC INC,,2020,8,August,100,0,7
B00210,"HOWARD CAR SERVICE,INC.",,2018,12,December,160,0,12
B01907,BEN'S LUXURY CAR & LIMOUSINE SERVICE INC,,2020,8,August,705,0,19
B02557,185 MALTA CAR SERVICE LLC,,2020,2,February,1158,0,16
B01800,EMPIRE INTERNATIONAL LTD.,,2015,9,September,11958,0,281
B01970,GRAFE STREET SERVICE CORP.,,2021,11,November,170,0,5
B00095,LIBERTY CAR SERVICE INC.,,2018,10,October,3841,0,21
B01259,THE NEW BROOKLYN C/S INC,,2022,6,June,1888,0,8
B02967,ABIEL TRANSPORTATION CORP,,2020,3,March,76,0,3
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2019,8,August,3373,0,11
B01854,EUROPE LIMOUSINE SERVICE INC,,2020,3,March,1656,0,143
B03041,PUEBLA CITY INC.,,2021,8,August,2045,0,10
B02303,MINEOLA TRANSPORTATION INC.,,2017,7,July,123,0,2
B03008,CROWN CAR & LIMO SERVICE INC.,,2018,5,May,94,0,7
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2021,11,November,4335,0,35
B01013,AMERICANA TRANSPORTATION LLC,,2018,12,December,1081,0,9
B02736,TRINITY CAR SERVICE INC,,2020,11,November,260,0,4
B01445,J T TRANS CO INC,,2018,1,January,6149,0,82
B02868,CHA CHA TRANSPORTATION CORP,,2018,1,January,296,0,5
B02965,ORION LUXURY CORP,,2018,3,March,797,0,13
B02731,EMES OF BOROPARK CAR SERVICE INC,,2018,10,October,636,0,5
B00171,CURB TRANSPORTATION SERVICES LLC.,,2015,10,October,5002,0,26
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2020,12,December,4523,0,159
B02899,NEW BLACK LUXURY CARS CORP,,2020,1,January,207,0,46
B01339,R C AUDUBON SVC INC,,2020,7,July,7629,0,44
B02653,NEW COLLEGE CAR SVCE INC,,2021,8,August,4024,0,28
B02517,LOS PAISANOS LUXURY C/S INC.,,2020,7,July,409,0,7
B01338,3210 WEBSTER AV PRESTIGE C/S,,2017,6,June,30207,0,280
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2018,3,March,1349,0,33
B00078,R & R ROAD LIMO SVCE INC,,2017,11,November,1458,0,56
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2017,4,April,3895,0,76
B02975,LI YANG LIMOUSINE INC,,2018,12,December,3366,0,27
B00095,LIBERTY CAR SERVICE INC.,,2016,5,May,18410,0,64
B02517,LOS PAISANOS LUXURY C/S INC.,,2015,10,October,346,0,11
B03314,"JBK NEW YORK, INC.",COMFORT LIMO NYC,2020,12,December,154,0,19
B03007,THE NEW SPANISH CAR & LIMO INC,,2019,6,June,170,0,9
B03047,"STS LUXURY, INC",,2018,12,December,2642,0,48
B01244,MASADA II C/L SVC INC,,2018,4,April,1095,0,6
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2020,6,June,2529,0,28
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2015,10,October,596,0,59
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2016,1,January,2461,0,19
B02856,MARIACHI CAR SERVICE INC,,2021,4,April,322,0,12
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2020,12,December,6,0,3
B02651,SAROS TRANSPORTATION GROUP INC.,,2015,10,October,280,0,17
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2017,7,July,5414,0,54
B02849,BROOKLYN RIDES CORP,,2015,12,December,309,0,1
B02298,NYG LIMOUSINE LLC,,2021,7,July,62,0,2
B00381,BELL RADIO INC,,2019,9,September,3809,0,89
B01300,KENNEDY RAD DISP INC,,2015,10,October,23138,0,163
B01854,EUROPE LIMOUSINE SERVICE INC,,2015,9,September,2095,0,79
B01928,DISCOVER LIMO INC,INFINITY LIMO,2018,7,July,33,0,4
B00477,INTA-BORO ACRES INC,,2016,11,November,10441,0,169
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2019,7,July,934,0,52
B01510,JPAN TRANSPORTATION INC,PARSONS CAR SERVICE,2019,3,March,1039,0,6
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2020,5,May,846,0,15
B01601,YOURS CAR SERVICE INC,,2018,6,June,4048,0,13
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2019,3,March,4,0,3
B00459,910 CAR SERVICE INC,,2018,9,September,5375,0,30
B02228,SPECIAL RADIO DISP.CORP.,,2021,7,July,1,0,1
B00037,TRANSP UNLIMITED C/S,,2016,8,August,10293,0,45
B03250,SALAM CAR SERVICE INC.,,2020,8,August,1998,0,12
B02929,OTTOMAN TRANSPORTATION INC.,,2019,5,May,10,0,1
B03236,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2022,1,January,681,0,21
B01318,LOWER EAST SIDE C/S CORP,,2017,12,December,7996,0,45
b01009,UNITED LIMO C/M SVC CORP,,2015,7,July,1567,0,13
B02903,JFK LUXURY LIMOUSINE INC,,2021,3,March,213,0,6
B02316,"AJAY CAR SERVICE, LLC.",,2017,5,May,418,0,6
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2016,12,December,987,0,11
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2017,6,June,6418,0,22
B03139,MJ LUXURY INC.,,2021,6,June,322,0,2
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2017,4,April,236,0,4
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2017,10,October,15401,0,133
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2017,12,December,1004,0,6
B00149,RAINBOW RAD DISP INC,,2015,10,October,2322,0,17
B00277,ALL CITY CORP TRANS INC,,2019,5,May,1278,0,36
B02182,"FINEST CAR SERVICE, LLC",,2016,11,November,4342,0,39
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,2015,11,November,797,0,3
B03202,JUPITER SELECT LLC,,2019,8,August,367,0,7
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2016,9,September,24842,0,126
B02881,DIANE CAR AND LIMO SERVICE LLC,,2019,2,February,6330,0,34
B03367,SHOW LIMO CORP.,,2021,7,July,105,0,11
B01349,CAPRICORN LIMO SVC INC,,2018,5,May,1165,0,22
B00078,R & R ROAD LIMO SVCE INC,,2019,12,December,1047,0,44
B00013,LOVE CORPORATE CAR INC,,2017,3,March,4400,0,113
B01083,BROAD DYCKMAN C/S INC,,2016,10,October,15166,0,80
B02175,MURRAY'S LIMOUSINE SERVICE INC.,,2017,6,June,47,0,8
B00419,KOOP DISPATCHING INC.,,2018,12,December,123,0,6
B01998,FIRST CORPORATE SEDANS INC.,,2016,2,February,11494,0,311
B00987,MARLBORO CAR SERVICE INC.,,2018,2,February,56,0,3
B01340,UNICAR COMPANY INC,,2019,4,April,14166,0,69
B02898,SANO CAR LLC,,2019,10,October,1,0,1
B02379,THE OPTION TRANSPORTATION CORP.,,2021,4,April,488,0,6
B00802,BELL CAR SVC INC,,2017,3,March,10323,0,41
B01061,DAT RADIO DISP INC,,2017,11,November,35752,0,156
B01145,ULTRA RADIO DISP INC,,2018,1,January,20270,0,129
B03226,PAXXIA LUXURY CORP.,,2020,1,January,252,0,10
B01913,MIRAGE LIMOUSINE SERVICE INC,,2018,1,January,842,0,24
B02922,"HY'S LIVERY SERVICE,INC.",,2017,6,June,30,0,10
B02787,SEMPERIDE LLC,,2018,4,April,49,0,8
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2017,3,March,21300,0,81
B03177,BERNICE SERVICES INC,,2021,2,February,892,0,9
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2017,11,November,305,0,9
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2022,6,June,598,0,4
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2021,6,June,980,0,5
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2021,1,January,3532,0,22
B02248,HYBRID LIMO EXPRESS INC.,,2016,4,April,924,0,7
B01710,"79 MASADA III, INC.",MASADA III,2019,11,November,10152,0,52
B00037,TRANSP UNLIMITED C/S,,2018,7,July,6020,0,24
B00053,CHARGE AND RIDE INC,,2020,11,November,155,0,24
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2019,2,February,1948,0,14
B00652,RESCUE C/S INC,,2019,12,December,2294,0,15
B03328,B-QUICK TRANSPORTATION CORP.,,2021,6,June,399,0,2
B00556,SURREY CADILLAC LIMO SVC INC,,2019,8,August,424,0,16
B03020,5J TRANSPORTATION INC.,,2017,11,November,1332,0,12
B02811,M.L TRIPS CORP.,,2018,11,November,1441,0,32
B01364,NY ATLIXCO CAR SERVICE INC,,2020,5,May,529,0,9
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2018,10,October,12288,0,78
B01268,LAKEVIEW CARS INC.,CLOVE LAKE CARS,2022,1,January,1109,0,78
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2019,8,August,1978,0,32
B02355,BWJ GROUP INC,,2017,12,December,1252,0,6
B00296,PRIME TIME TRANS. INC,,2015,12,December,1500,0,62
B03055,EXPLORER EXPRESS INC,,2019,7,July,2953,0,21
B02881,DIANE CAR AND LIMO SERVICE LLC,,2016,4,April,7212,0,34
B01312,BROOKLYN RAD DISP INC,,2017,5,May,19621,0,190
B00411,FONE-A-CAR INC,,2017,4,April,1427,0,57
B03061,BLUE EAGLE TRANSPORTATION SERVICES CORP,,2019,9,September,1122,0,39
B01391,ROSE 'N' DALE C/S INC,,2018,5,May,1715,0,10
B01016,810 CAR SVCE CORP,,2020,9,September,5522,0,25
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2016,2,February,6105,0,50
B03081,DLS CAR AND LIMOUSINE SERVICE CORP,ALL TRANSFERS SERVICE,2019,4,April,110,0,6
B01280,BENSONHURST RIDE INC.,,2017,8,August,5367,0,27
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2017,6,June,4607,0,23
B00448,DIAL CAR INC.,,2021,6,June,3309,0,59
B02658,ASCONA CAR SERVICE INC.,,2017,5,May,592,0,5
B00013,LOVE CORPORATE CAR INC,,2020,7,July,338,0,81
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2021,12,December,439,0,4
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2022,5,May,260,0,4
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2019,2,February,386,0,4
B01346,ARECIBO C/S INC,,2016,3,March,14799,0,92
B02653,NEW COLLEGE CAR SVCE INC,,2019,8,August,8412,0,46
B02590,LUXOR LIMO INC,,2017,10,October,2162,0,47
B03032,A & S LIMOUSINE SERVICE CORP,,2018,11,November,3782,0,21
B02397,CHICO EXPRESS CORP. 2,,2018,3,March,5720,0,30
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2017,6,June,3232,0,78
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2021,7,July,3098,0,42
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,2016,2,February,535,0,26
B01386,FENIX PREMIUM CORP.,,2016,2,February,51808,0,183
B02852,OP CAR SERVICE INC.,,2019,8,August,1203,0,6
B02594,FENIX MOBILE DISPATCHERS LTD,,2019,8,August,1252,0,6
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,2016,5,May,2941,0,52
B03299,WHITE TOP CAR SVCE INC,,2022,1,January,5527,0,40
B00984,P J CAR SVCE,,2015,11,November,2447,0,9
B02784,SMILE TRANSPORTATION GROUP INC,,2022,5,May,8386,0,43
B02470,VAHANA INC.,,2022,4,April,3,0,1
B01364,NY ATLIXCO CAR SERVICE INC,,2017,8,August,2113,0,15
B02096,"CET GROUP, INC",,2016,6,June,502,0,28
B03006,HUDSON HEIGHTS TRANSPORTATION INC.,,2021,4,April,285,0,10
b01244,MASADA II C/L SVC INC,,2016,8,August,1955,0,7
B00325,CONTINENTAL RADIO DISPATCH CORP.,,2015,10,October,3636,0,34
B02594,FENIX MOBILE DISPATCHERS LTD,,2019,3,March,60,0,3
B02787,SEMPERIDE LLC,,2019,6,June,22,0,5
B03142,"COOL WAY TECHNOLOGY, INC.",,2019,8,August,1011,0,15
B02026,A RIDE FOR ALL LLC,,2021,2,February,7,0,1
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2021,6,June,557,0,6
B00628,"CONCORD LIMOUSINE 1, LLC",,2021,2,February,1033,0,51
B02093,V.J. CAR & LIMO SVC INC.,,2021,10,October,588,0,3
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2017,4,April,10588,0,69
B00037,TRANSP UNLIMITED C/S,,2015,3,March,14793,0,52
B00556,SURREY CADILLAC LIMO SVC INC,,2019,6,June,563,0,15
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2021,5,May,483,0,5
B01311,DISCOUNT CAR SVCE,,2021,2,February,318,0,4
B01250,BELLE MANAGEMENT CORP.,GLEN BELLE CAR SERVICE,2016,7,July,375,0,15
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2018,10,October,7404,0,117
B02005,CAR LINE TRANSPORTATION CORP.,CAR LINE TRANSPORTATION CORP.,2020,3,March,210,0,16
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,2021,7,July,706,0,21
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2015,8,August,16651,0,118
B03113,MIKE'S VIP TRANSPORTATION INC.,,2020,9,September,295,0,17
B00171,CURB TRANSPORTATION SERVICES LLC.,,2018,5,May,365,0,4
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2019,7,July,1244,0,6
B01273,PUERTO RICO CAR SERVICE INC.,,2021,7,July,275,0,1
B02846,DLS TRANSPORTATION CORP.,,2022,5,May,3181,0,31
B01087,ELITE LIMO PLUS INC,,2021,3,March,7620,0,147
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2020,5,May,1066,0,5
B00160,JAFFA CAR & LIMO SVC INC,,2017,6,June,2219,0,17
B02988,"BED STAR DRIVERS ASSOCIATES, INC",,2017,11,November,943,0,7
B03094,"JBE LIMO, INC",,2018,9,September,39,0,6
B02736,TRINITY CAR SERVICE INC,,2019,3,March,212,0,3
B02717,ZOOM CAR SERVICE INC.,,2018,5,May,837,0,3
B01109,UNITED EXP C/L SVCE,,2019,9,September,589,0,16
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2015,6,June,12260,0,215
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2016,5,May,2010,0,16
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2018,1,January,1267,0,23
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2017,11,November,7741,0,54
B03308,B.S.Z. LUXURY BLACK CAR INC.,,2022,2,February,54,0,14
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2020,8,August,2677,0,16
B02688,KJ TRANSPORTATION,,2017,7,July,1883,0,35
B01738,SAETA CAR SERVICE INC.,,2016,12,December,2509,0,14
B01527,NEW FAMILY RAD DISP INC,,2019,1,January,3899,0,33
UBER,UBER,UBER,2016,2,February,4827339,0,29538
B00014,NY ONE CORP CAR INC,,2022,5,May,873,0,207
B02868,CHA CHA TRANSPORTATION CORP,,2021,3,March,800,0,5
B01338,3210 WEBSTER AV PRESTIGE C/S,,2015,8,August,74437,0,638
B01984,NY 88 EXPRESS CORP.,,2018,9,September,25892,0,136
B00860,SEAMAN RADIO DISPATCHERS INC,,2018,3,March,24351,0,127
B02285,"VALERA GLOBAL, INC.",,2017,8,August,3179,0,88
B00859,PROMENADE CAR LEASE INC,,2017,4,April,922,0,8
B02891,"GLIDE LUXURY TRANSPORTATION, INC",,2017,2,February,98,0,4
B03116,NAVI TRANSPORTATION INC.,,2019,10,October,643,0,6
B02016,PLANET LIMOUSINE LLC,,2017,3,March,2573,0,57
B00597,WAKEFIELD LSG MAINT CORP,,2018,7,July,1228,0,9
B01215,ECUADOOR CORP,,2021,4,April,1572,0,11
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2019,12,December,11760,0,122
B00254,XYZ TWO WAY RADIO,,2021,12,December,6478,0,113
B03160,"CURB TRANSPORTATION SERVICES,LLC",CURB MOBILITY-CURB TRANS,2022,1,January,11144,0,857
B01711,FLUSHING LIMO TRANSP CORP,,2017,12,December,5127,0,22
B03246,FASTRIDE LIMO INC.,,2020,12,December,107,0,7
B03034,PURPLE HEART TRANSPORATATION INC.,,2017,9,September,56,0,2
B01525,NORTHSIDE BK LLC,,2019,12,December,374,0,4
B02832,NYC FLY WHEELS INC.,,2016,8,August,1,0,1
B02709,DASH CAR SERVICE CORP,,2019,6,June,981,0,3
B02184,"DMCLS, INC.",,2019,1,January,154,0,6
B02331,"CHICO EXPRESS LIMO, INC.",,2016,4,April,1641,0,11
B01768,NEW SUPERIOR RADIO GRP CORP,,2015,11,November,9696,0,75
B02011,EXECUTIVE TOWN CAR & LIMO CORP.,,2017,10,October,369,0,23
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2016,11,November,18924,0,134
B00900,BIG Q CAR SVC. INC.,,2022,6,June,15469,0,70
B03092,USA LIMOUSINE SERVICE CORP,VPZ EXECUTIVE LIMO,2019,6,June,699,0,12
B01800,EMPIRE INTERNATIONAL LTD.,,2016,5,May,12021,0,311
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2018,12,December,160,0,31
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,2016,3,March,26187,0,136
B03111,"SELECT TRANS,INC",,2021,1,January,427,0,6
UBER,UBER,UBER,2015,8,August,3316381,0,23350
B03015,TRI-COUNTY BLACK CARS INC,,2017,12,December,4240,0,18
B03041,PUEBLA CITY INC.,,2021,4,April,2524,0,12
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2021,1,January,37,0,10
B02868,CHA CHA TRANSPORTATION CORP,,2020,11,November,480,0,5
B03177,BERNICE SERVICES INC,,2021,10,October,761,0,12
B02182,"FINEST CAR SERVICE, LLC",,2017,2,February,4684,0,47
B00170,EMUNAH CAR SERVICE INC,,2016,8,August,1246,0,7
B02860,EVERY WHERE LIMO SERVICE INC.,,2018,6,June,137,0,14
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2020,6,June,244,0,3
